edge_tp,edge_fp,edge_fn,division_tp,division_fp,division_fn,num_pred_nodes,node_recall,total_node_ratio,edge_jaccard,adj_edge_jaccard,dataset,estimated_total,gt_node_recall,matched_nodes,graph_hash,metric_revision,variant,embryo,gt_sha256,seconds
364,5,6,0,0,0,41115,1.0,-0.4505766172677829,0.9706666666666667,1.014402636982793,44b6_8f9ecab4,74833,1.0,374,3e678c96174315e48e11fb0afe865f3bca01600481bdbc5633f3b9e481750bda,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ded4238d57456c22f5538fff60734587fa85f9b38312cf2bea960337d023545c,1.5544497738592327
94,15,9,0,0,0,23407,1.0,-0.08322888923703588,0.7966101694915254,0.8032402674476962,44b6_90724892,25532,1.0,105,cc05c19800d2a38854f84491e3a66ea8991a71e5d89970e578dad98bdf291e8b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,de9a8ae784065a5bd2c5345ba7ce77bb035776def0c5a72b5d88c855b568bf50,0.884555228985846
344,40,34,0,0,0,39204,0.9768041237113402,0.054466230936819175,0.8229665071770335,0.8184841187937163,44b6_949adeb1,37179,0.9768041237113402,379,cf6c11ffe202996b101ec28fc4e18ad98ebf0d23d70192860c50c4fe4906bfc0,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,2aad4f04ccf44e676e7401b32d8688d9e8bee7d3be7bfe0f549046e416aa83cb,1.523476016242057
198,0,0,0,0,0,4791,1.0,-0.07169153264871149,1.0,1.0071691532648712,44b6_95029e92,5161,1.0,200,9e74cdb9a38ba2061dc7e118ec838e2432128d927ed8e296d248114b5851e09b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,79ce0f26aebe2d03ff5010fe046576324fa76e20af0636c2d70e1dd4022303a1,0.3252175347879529
218,4,3,0,1,0,33822,0.9955555555555555,-0.05456476770839157,0.9688888888888889,0.9741756086046353,44b6_97725144,35774,0.9955555555555555,224,5169bf239bfd995ba2818c451fbe770857d5155d7bf6c7bcca06fae5d892de6e,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,76c0c708d7dcf645e8bdfe745dcb4b9823f1527b84f4f5b8647d503e946f67b4,1.2867348790168762
370,2,7,1,0,0,9281,0.9868421052631579,0.22553809586689555,0.9762532981530343,0.9542350671581131,44b6_996155de,7573,0.9868421052631579,375,831465bf918671f358dc618d9437f594d0f42cab5b79b90b24e063ca1304c3fb,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,9f8108d8a81f36e7201f37adedda9d5be4e9e8743a306993574d0a82c61b0713,0.6527770739048719
207,17,13,0,1,1,26099,0.9864864864864865,-0.5490609395787619,0.8734177215189873,0.9213736770011831,44b6_9be80b04,57877,0.9864864864864865,219,acee47d6712152fc95379c1d5bc3c1d1fb612ca4e88c8f6f6f736aac640b9e9e,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,6b7ebe0d92ee443a03c2ecb5a660f355395c6d93889530730df2099226718d4f,1.3904328509233892
244,21,15,0,0,0,39731,1.0,-0.38217640106985135,0.8714285714285714,0.9047325149503728,44b6_9bfa6a0a,64308,1.0,264,36fc9b4af32cdc94daa710a5a03f0cd3defae300010eb14350d5be249b462e9c,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,00f64faf4972f923d6a60b5286e2791a75385d15832cfc577448bec0d47ac8e4,1.5641580834053457
284,1,2,1,0,1,22022,1.0,-0.04418402777777778,0.9895470383275261,0.9939192557104143,44b6_a21120c2,23040,1.0,296,df7c162fb511ca9f3511852037a6942af530128ceb0545f35960d25364531b5d,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,a4f453dbbaae03704fbe1c4d46b33b4c1a29aff32d0d91c9012121f1d5269e90,1.3133474737405777
376,39,34,0,1,0,46816,0.9975961538461539,-0.22762443700196328,0.8374164810690423,0.8564781265729929,44b6_a2bb48bb,60613,0.9975961538461539,415,57a5f60c51e97ff5fb872d128c842f81522302300abe986591c2889b6cb545b3,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,b1945b351bcce082cbcf46c1cfcd5f1182002eec09b4c2fa826c221e4224f055,1.7671794099733233
203,0,3,0,0,1,15427,0.9904306220095693,-0.3019141137608037,0.9854368932038835,1.0151886238317684,44b6_aaf8b0ea,22099,0.9904306220095693,207,a102c224b75a879e80a13b384cfdf86c9e88233581aa4cd416e600c366f6a91d,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,fadb16b6d346d8ee69078b5e67f6282b4d4446b6b756f65a7b0f8d3ecd4904eb,0.876169737894088
94,1,0,0,1,0,26447,1.0,-0.041914215331111435,0.9894736842105263,0.9936209855169731,44b6_abf82518,27604,1.0,96,fe14333bc7408c434f7a1fcc915920fe971e5c7140a61e0498ee4b15a62b2695,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,4e8a6ca33d5d25c0bb9ff57a02a53ecf8cb00da080899cf82df3c537cda8f1dc,1.0498668099753559
154,15,14,0,0,0,37972,0.9647058823529412,-0.3642619163220546,0.8415300546448088,0.872183789679561,44b6_b2c44266,59729,0.9647058823529412,164,89a3f4d18a1e40c73a90864152449bd7ed4ed1bdaa9607cb1fb6233048ad844b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,78a75717da2cd928f079b75332a969e2faf5207838e4028929143e5d70a12c68,1.5050212312489748
98,5,4,0,0,0,19539,1.0,-0.050813699295603594,0.9158878504672897,0.920541815449504,44b6_c15fded2,20585,1.0,104,610d71cd1fff8f9fa164f16e4f866e8ef2c14378a524be93cf567979cf104ca9,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,a777e16fadac5dec7e5c74b56a124b4161072fcc2ae5f22c874f3d7db52a50c4,0.7967661810107529
293,36,32,1,1,1,38081,0.987987987987988,-0.19110837333786482,0.8116343490304709,0.8271453610493059,44b6_c50204e0,47078,0.987987987987988,329,3293e74e5b1a1057784c4b8acf8f9d40b9514b48f0de918de610db5401c94f9f,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,5fa068d99f653a64c566b7e45007763cebe9c6f948fdd2b8344c182f1435713a,2.179795159958303
204,28,19,0,1,0,29877,0.9911894273127754,-0.4399287655825288,0.8127490039840638,0.8485041705891777,44b6_c771cb04,53345,0.9911894273127754,225,6f0f6d09a810a553bae24df9e433796287fd5c9fb509f0d85135d8e1ec0dd9a1,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,680396e49cce8e0ac2350a76b3d9ff816086c0f8e20156f83968b54427032688,1.2491084383800626
153,15,11,0,0,1,28827,0.9821428571428571,-0.1302498189717596,0.8547486033519553,0.865881688437251,44b6_c8e2a523,33144,0.9821428571428571,165,2838ec9a9c860e2e4a7100603e68a1c0ae948697cf1f642d54c93a37a366ac77,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,7e2b7a116d4e65dcb3320d43d82808662ab45400fe730679494c78a781756d01,1.5286627877503633
591,18,25,0,0,0,38261,0.9809220985691574,-0.17248464400034605,0.9321766561514195,0.9482552720195906,44b6_c96cfa10,46236,0.9809220985691574,617,105ed53be97b3ea48f6656386d215601769b538df9449926ab3a6b5b4280b068,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,a4e7738a6c1e7e34021054bd963e6cb1451558d180dcc7e390e7c4f64cdf9d87,1.5639859605580568
71,6,4,0,0,0,22510,1.0,-0.6089637800746982,0.8765432098765432,0.9299215165250662,44b6_cf2536e8,57565,1.0,76,dce9c4aecc64d1bede45f464568114ce9d5ebc467514b402782ae80970a52bc9,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,7b132683eb4a64414809c506a75058e2a1283e0e6fcba082d51f84b11484fb08,0.9796407748945057
184,6,4,0,0,0,41645,1.0,-0.047657161151638504,0.9484536082474226,0.9529736688927326,44b6_cf8fed6b,43729,1.0,191,9d2e3320c212ddcd7aed8d550822d5ef0ee1782bce0f1ee97d6f5e5ffea93308,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,071b56596407f896f2f945130d5b5031270588a152cf6ac4c66752f2a2b3f186,1.6177025330252945
1302,29,26,0,0,0,36511,0.9940872135994088,-0.040572855078176324,0.9594694178334562,0.9633622591976261,44b6_d29c9ab2,38055,0.9940872135994088,1345,58f9124109ee3841506460f1fb83d02835687a64d2c136051508733b8d4070af,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ba54e483baa73ba026fd8bcb60663c78cda567a84c15e6e93e6568a74010fa95,1.4680400360375643
274,4,7,0,0,2,15396,0.9893992932862191,-0.3604718783750104,0.9614035087719298,0.9960594016402642,44b6_d2f34f90,24074,0.9893992932862191,280,85f0f77d8adbf8e4a651673430c2848ba5afa284b1dafc8c8bdcfefe78b186cc,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,f0c30da6320a29632b3c6de8417f8f3466b21f623749cbc5488a294a3e3cc4ac,1.0845558186993003
829,77,64,0,1,2,43396,0.9922737306843267,-0.03237602568676418,0.8546391752577319,0.8574061572468379,44b6_d5e7d891,44848,0.9922737306843267,899,73494a5d0d6f7069f29c1cc25cddc00f6b2cdff376a8f08ea354f7225ea621a0,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,b23656804986faa4310d01145b289d1b17af0808a709e5219df014253254efc6,2.552457374986261
68,2,2,1,0,0,5607,0.9861111111111112,0.08431637981048153,0.9444444444444444,0.9364812307956767,44b6_d754aa59,5171,0.9861111111111112,71,ef7d1315d1aae152dc7cf73effd4985a9719429bc182719e9df566d42aee7dd2,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,0562e61d18e74aada56db19ece7b95d665b627d1334df4aa99302455be98d9c3,0.3272481895983219
426,23,25,0,0,0,23584,0.9740820734341252,0.05952648366952693,0.8987341772151899,0.8933843286828653,44b6_d78e09d9,22259,0.9740820734341252,451,4f693e4e89bcf87c15b8f66354e65ca56b0042917f5d4c3264d0c508d541681c,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,92dd087b889f768df52bc622801fcbfee2944e0c8bd5f0fec8160f64a901c567,0.9270270164124668
153,8,9,0,0,0,15572,0.9757575757575757,0.036543965918924316,0.9,0.8967110430672968,44b6_db3c847b,15023,0.9757575757575757,161,7e37fe8c3be7e62679ae02441745987c3ce8d5ba110312354bf9276a23e6c9d5,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,9fdd47d9be028edbd201f10cb8cb12886621d1e533001c6548d5e5ea549fd06f,0.6933143278583884
604,59,43,0,0,0,38286,0.9893778452200304,-0.2842668062514021,0.8555240793201133,0.8798437890900633,44b6_ddf577ad,53492,0.9893778452200304,652,0fb42a752bf5e387b9468e8d206fdb144fbe2c9a3f4238374cfdd865044d2a64,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,0163b86e2c1c91ad4753d28f8eaf547de137b3dad6041fe0f983ebbc93475400,1.5422118781134486
121,6,3,1,2,0,15694,0.9920634920634921,0.12188147830438202,0.9307692307692308,0.9194248777885922,44b6_deabac95,13989,0.9920634920634921,125,61447b62585e30c41300c43343f12b8767ec854e235c3806367c0dd10c6cfb6a,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,150a32fc7b571a7a75a59291bd3556cd34863a209b83fb380d5deb81ec637dd3,0.8373264237307012
287,10,22,0,0,2,27352,0.9678456591639871,-0.633773397959457,0.8996865203761756,0.9567062586878884,44b6_e28840c6,74686,0.9678456591639871,301,f28bbb846ec90b3402877c05f3b2c5a2615f97197ec1fe056740be6d7ab4e25b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ca4941f7292a031504dbf8d39464ccfdafed9be293f60b70f76cccb9db6e5a22,1.778971967753023
47,3,3,0,0,0,13522,0.9803921568627451,0.0426401418767831,0.8867924528301887,0.8830111572297947,44b6_e29f0176,12969,0.9803921568627451,50,b999b7cd2eb41a2e33d70fa2db61b0067ea878d46b10d7dc5b8303d69d28261b,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,33ce041798e3afba35d1378b431fdddd59f93155183a0f0ea89c232ba24e8398,0.5192314558662474
107,8,6,0,0,0,66901,0.9913793103448276,-0.08173657626001976,0.8842975206611571,0.8915254658345638,44b6_e31261b4,72856,0.9913793103448276,115,e3767577498a9889643e31d071166fdd032274e7f3906fa2e187ce1b1e720b21,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,ea4a690b61ef8e2774db8b36f1dc91fd533a5889731038d82a08b3c135e27e6b,2.373115195892751
237,21,29,0,1,0,19836,0.9407407407407408,-0.3074264166753954,0.8257839721254355,0.8511707528752853,44b6_e35b117d,28641,0.9407407407407408,254,cd9ac7a39b2e74bcbde47374f44b7084076d9cc3846ee558117f5cee17423bc4,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,db200a69bc393d51f6cb9a57963b6e333d89e38c27223f1ee3638ac65b1751ca,0.7704773279838264
159,15,27,0,0,0,17505,0.9119170984455959,-0.13827901939549078,0.7910447761194029,0.8019832657133746,44b6_e57ff5c6,20314,0.9119170984455959,176,3865e7129e2dc866f6af3ceaf43468d5e052f540a9e320b7209b907b6abca8c4,075fc5f5a52d11077f9dc2b074644618f26939e2,C0,44b6,02886139106136aca896dfe4dbea7d2909b9011db6017ef8ab355346ca140000,0.7796633606776595
